disciplina;materia;banca;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta_correta;justificativa;dica;formula
Direito Administrativo;Licitações (Lei 14.133);Banca Padrão;Médio;A Lei 14.133/2021 (Nova Lei de Licitações) estabelece diversas modalidades de licitação. Qual modalidade é caracterizada por um diálogo com licitantes previamente selecionados para desenvolver soluções?;Pregão;Concorrência;Diálogo Competitivo;Leilão;;c;Correto. Esta é a definição exata do Diálogo Competitivo, usado para inovação.;A chave é 'desenvolver soluções' e 'inovação'.;
Língua Portuguesa;Concordância Verbal;Banca Padrão;Fácil;Assinale a alternativa em que a concordância verbal está INCORRETA:;Houveram muitos problemas na reunião.;Mais de um aluno chegou atrasado.;Fomos nós que fizemos o bolo.;Precisa-se de voluntários.;;a;Correto (é a incorreta). O verbo 'Haver' no sentido de 'existir' é impessoal, fica sempre no singular (Deveria ser 'Houve').;Verbo 'Haver' no sentido de 'existir' é o 'pega' mais comum.;
Raciocínio Lógico;Equivalência Lógica;Banca Padrão;Médio;A negação da proposição 'Se chove, então o trânsito para' é:;Chove e o trânsito não para.;Não chove ou o trânsito para.;Se não chove, então o trânsito não para.;Não chove e o trânsito não para.;;a;Correto. A negação de 'Se P, então Q' é 'P e não-Q'.;Use a regra 'Mané': Mantém a primeira E Nega a segunda.;P -> Q <=> ~P v Q. Negação: ~(~P v Q) = P ^ ~Q
Direito Constitucional;Direitos Fundamentais;Banca Padrão;Fácil;Sobre a aplicabilidade das normas constitucionais que definem direitos e garantias fundamentais, é correto afirmar que:;Possuem aplicação restrita e dependem sempre de lei.;São normas de eficácia limitada.;Possuem aplicabilidade futura e condicionada.;Possuem aplicação imediata.;;d;Correto. Conforme o Art. 5º, § 1º da CF/88.;Art. 5º, § 1º da CF: 'As normas definidoras dos direitos e garantias fundamentais têm aplicação imediata.';
Direito Administrativo;Atos Administrativos;Banca Padrão;Fácil;A invalidação de um ato administrativo por motivo de ilegalidade é chamada de:;Revogação;Anulação;Cassação;Convalidação;;b;Correto. Anulação (ou invalidação) ocorre quando há um vício de legalidade.;Anulação = Ilegalidade. Revogação = Oportunidade.;
Raciocínio Lógico;Tabela Verdade (Conectivos);Banca Padrão;Fácil;Na proposição composta P ^ Q (Conjunção 'E'), o resultado lógico só será Verdadeiro (V) se:;P for V ou Q for V;P for V e Q for V;P for F e Q for V;P for F e Q for F;;b;Correto. O 'E' (conjunção) só é verdadeiro se AMBAS as partes forem verdadeiras.;O 'E' é exigente. O 'OU' é inclusivo.;
Língua Portuguesa;Uso da Crase;Banca Padrão;Difícil;Assinale a alternativa em que o uso do acento grave indicativo da crase é FACULTATIVO:;Vou à Bahia no verão.;Refiro-me àquele aluno.;Disse tudo à sua mãe.;O evento começa às 19h.;;c;Correto. Antes de pronomes possessivos femininos (sua, minha, nossa), o uso do artigo 'a' é facultativo, logo a crase é facultativa.;Crase é facultativa antes de nomes próprios femininos e pronomes possessivos femininos.;
Direito Constitucional;Controle de Constitucionalidade;Banca Padrão;Médio;O instrumento de controle de constitucionalidade que permite ao Supremo Tribunal Federal (STF) editar súmulas que vinculam toda a administração pública e o judiciário é a:;Ação Direta de Inconstitucionalidade (ADI);Arguição de Descumprimento de Preceito Fundamental (ADPF);Súmula Vinculante;Mandado de Injunção;;c;Correto. Esta é a definição da Súmula Vinculante (Art. 103-A da CF).;Súmula Vinculante é a única que 'vincula' (obriga) outros órgãos.;
Matemática;Juros Simples;Banca Padrão;Difícil;Uma pessoa aplicou R$ 1.200,00 a uma taxa de juros simples de 2% ao mês. Qual será o montante ao final de 5 meses?;R$ 1.320,00;R$ 1.260,00;R$ 120,00;R$ 1.440,00;;a;Correto. J = 1200 * 0,02 * 5 = 120. Montante (M) = Capital (C) + Juros (J) = 1200 + 120 = 1320.;'Montante' é o Capital Inicial + Juros. 'Juros' é apenas o rendimento.;J = C * i * t (Juros = Capital * taxa * tempo)
